timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,is_labeled_suspicious,attack_type
2026-07-27 12:18:39,206.101.248.152,165.228.203.40,443,18332,6bff582b159f7a5f19f6eeb9745b3d9943ea30fb3eddb78955d39d325420930a,3qH1z6ynQQyCGjmhVafhhr3DMYQeLBDYFz|1kgU3JlzvP9RBg5Cgd58BrgS3CNu2zm0vL|1ixpWYNOXrMqVC3qDohhWfkfOggKFMU7LP|bc1qgySsfFBkfxCudaKPe76mILOlmGWM62gp5XtEOL|3x1IybgNZ8BCKyKep8UzIZIVAH1x6VipJv|bc1qeegKiXrMMf805MskZFrkAaP5fDq8xpGKkTuzFI|bc1qvnYnskodZqEF8aTsan4JrL6H6I69XvFDqV0UTb|bc1qp8Vmjmjc2DgB7EPlmTFhZnq2vNTf1Ts5qEqVWB|30cPuUP1iyPGG94HavxyxWoNSQTWmUt2yP|3qheFJ71HA1xQroDUzHjXnWE9W6c8QWx6U|3MYEB4fkZKwk1KF6oKGvvwLkmYxAcgVsZs|bc1qNkWcXsTDJNnAOKkGlHHnLsFr3tKzOrC9gHVZxI|1um9pRT4oMBh3ntBHqmPZffR8TJbl2FimH|bc1qX711deR1S4leBZAuBr5QPlKbyxTzzpdqXnvNLs|1DPwjTdF2B3LCSKiLe6ofVY55u4jkvk89X|3catMZiLqtZBf5fvomMEuWgGDmYQ989I8S,1U8TZaKa9OrPMauUPUfbMnlXeCq5zUBvgz|384i523Rutt73QaYpLWOjEQRMht7jv0291|3hzJfpLCwRngdtTnYQL9FKtB7AOgfJeuUh|bc1qybpP2m8MQlErwe0oO3bAra2oCHEFC5NrE67beq|1IbKXR5YaAvEaGpQOxdMONbGjqgvuMK6Dx|3dmTKYSuVy2jebOxokVDruqhdk9qiS9nwP|bc1qBIoPw8oV6tmXsvFB1rM8JZ5OlU9x6hdQQ74xRb|1kI7a2N1wqtuTHXCJFK9JlKPcCFqSslJtc|14aAfzoBm7BmXHpE40Za5shqjGqITuDWhK|bc1qZPkaEjB6iiGArQbXpZ4ir5XrAI32vaQC0GYlZo|1rpwuvMidN3El36jt5kbl4ecKp1OL4SELM|1ZSXkz0hSB86PZYG6rZZ57qy8xTqSTpzkL|1spdtlEzWysA8WaEMrINlQoRT6KLCpvaP8|1gH4L9xZGgFri3e6ikmwx0smZHilgFs7XJ|3iwFlPtCQR1a9XBshNUOYjRLeQepIiFbwm|3Hwvo8vHYOxzRgb5hjs5MBoESOkJQWijGM|3k84j6shkUOZruR2QJlID7LwrcwJLwUp3w,1.01459969|1.01235577|1.01621152|1.0065489|1.04921088|1.02080702|1.00519698|1.02385612|1.0185288|1.02034872|1.04727485|1.00366849|1.01461831|1.0403461|1.03382607|1.04153983,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0.3677048,0.00123325,P2WPKH,CG,True,CoinJoin_Mixer
2026-07-27 12:28:29,140.196.252.219,147.7.133.202,57339,18332,8a8876cf66db8635f415db3e7ac3635382cf7ddd92ea8dfa2036481a0a5a6703,bc1qwN690MlNmE5cdkI8NKzFpuv1nct6jdb7b5tLOV|1cmEz2Ksvxg8gGj2pWxaEQK2slM3bCvJrL|3aIpP1a91GAfsfxRUDrckNH84dNBv90Yo8,bc1q7E6ehpO6RE7qBPK1nFj9qpUO4CvE7zXTK6LvFh,0.04221832|0.10502889|0.86067388,1.00753458,0.00038651,P2SH,YE,False,Normal_P2P
2026-07-27 12:59:45,155.147.227.168,7.25.223.255,53038,18332,8d591f991aaef0be551521f482ad3573746a7d509bcdd80a81592fa03608da90,3O2o93PV6uPrjF2AR3aZ0cW526BgkbAy60|1Mbauw4ihdx4i3DSIHDkeNV8J6YiXmEWj1|1wgzWexcvwkLsQvgwaET3G20c1wdMMu6y1,bc1qcXPOEY5m8vx8C5rIZm5EE29Vpt7Ai2upNVKsHb,0.2896933|0.09595709|0.94308558,1.32852691,0.00020906,P2PKH,VA,False,Normal_P2P
2026-07-27 13:01:31,52.254.14.10,210.5.223.188,61022,8332,ac90cc83d391de1d9e9094374cbb0cb4f1a7fb2e7b328e702e3c1fed087353c5,bc1qlE5PAtUzIe89nKitf1XUmmX7O0GLsrJd7bsXoL,bc1qLVWPBipyXuV3PdyKdbVPxIBso49KowOEeRh12N|3myz7bRepkeloyjFB9cfKcvmU8cjSvGai3|bc1qu8geASTKeetpxIGo8U8x68ATGMdbEDoFCE00qF|3bGkPbqTuvkpNHDpgKoHvrW0KTUKo2GZY4|1VDX69oRK1VBVAabUpDKo8UuT12K5NQnVO|14w5zpWN6QEcWW7OXIvQRpWKwlqgHIqJfF|1gSv3yGYTXe50xTdgEICt6Phuz2zlrn5lV|bc1qQ6Hz0uIzCn0b51gPktAwrL71sqSHvLzmjU6W4Z|bc1qNF4EbKakoLbB9jE7hl4EtHSgAvyU00BewhP9BZ|3mQMmdXiTCU2gGJJIQrVSqZAScF3uITUCN,15.62037684,0.66398838|1.93109925|0.15922677|2.38551422|1.62037306|1.4071261|1.15500192|0.69118605|0.17922816|5.42511336,0.00251957,P2WPKH,PL,True,FanOut_Dispersal
2026-07-27 13:05:20,7.115.180.155,209.99.216.175,9150,8332,7be9c9c7c48823ee27cc26acc4fce81b7617b2c8c4e6a5212e822d30135fe661,bc1qYHI5sy8BZcCXOZtmy7bRnjKLoMjwuHqLLqjJmd,bc1qZyrX6Xyievk1R1H8KZjNzMQ0P89oa8AKjF2y9N|bc1qioCl3JweOKEIK6RMwsVBJnof977FJlkzjqHIOK,19.26448749,0.08188831|19.18214466,0.00045452,P2WPKH,NP,True,Peel_Chain
2026-07-27 13:15:16,137.110.41.11,142.53.222.230,18333,18332,4cee68e9b204afb5ebeea7065d3439594561e762cdd1ad64812afda25b6fdf79,1OhgksUYkzPxPBc7asRSl5JAyzyi3FMuu6,10m822mMIw7EJ7rCaE57igRpYv8HE2XmZc|1HR8XA1JdY1FHMAAVmU84KQcRgRukB2LYL,25.82800072,0.12423733|25.70337632,0.00038707,P2PKH,MG,True,Peel_Chain
2026-07-27 13:16:58,218.58.211.226,170.138.191.212,52626,8332,f8f85187d4d99f7275b3ef926d6f349e8c8f5858f75fd2d062209b9a895fd0d8,3KaPUvc0RcBPlGB96FZlyh0UgtnlJk6vwG,3DpP4z2NfenASAJyp9SW6CFrJjPFGqnVl8,0.29255296,0.29242676,0.0001262,P2WPKH,BF,False,Normal_P2P
2026-07-27 13:41:47,187.115.69.19,83.103.70.236,60700,18332,d208d29d2232ec2147b3c67f9fa45ea822740168cfc2c1dc190d9a4f66ca7860,3tIbgqzUcApZKxaXmPakcbldNOwKKHmb8J|bc1qNkaEY8CEeEE7yVqfu0bfz8rGDdZrWqgmiZ7hhr|1BhvWqD5E6C6JB5nFrkgMvxL58hfYOsJUp,1caFu6vIWsAYyC6OAEgJsyY7jdgrjXkGo7,0.08250404|0.43101068|0.73728503,1.25044008,0.00035967,P2SH,GN,False,Normal_P2P
2026-07-27 14:01:56,96.227.229.183,129.116.180.129,50830,8332,9402b8fde28dd3d3e779301688a9c68b3990e2832b84cd5a3f9eb797e045e227,bc1qHPJJQf1HLdXbioib5FZwSdV376WPzOlbk5HecE,1Wgjz7IyR5SAALZh2wXTRa5tLshAGvODbO|1iIgrCiAOq4BWNFLFcZR6h1KPS8ym7WdZT|39yT5IoqhtIhLHs6QxOQwEnJ7f45PUo5dr|3n4pkwdY14i6qIzNTQwZqRsYMys4seghNa|bc1quXwHPIyCqJzOj9HDgN0fqjD7h9XatWr1JtyZIY|bc1qImpytLCOHZu2ee6TJfKuOsEPWeR4fspf8f3czm|3p4Ri9I1Agv1id6IkpyIDWAqooMk719ZhI|3Q45Mc0Q9ER2CXCjzNGlNWrsvCtuNTSMkB|bc1q7TcN1ymZnJRMhWSROzsIxiZ9GXcPwiXgK2UBBG,7.88993717,0.11695779|0.2392115|1.15192124|0.7929943|0.39253515|0.30585107|0.29850353|0.37540887|4.21297476,0.00357896,P2WPKH,SZ,True,FanOut_Dispersal
2026-07-27 14:06:06,218.46.25.81,220.53.199.228,18333,18333,2f40e015b709031f4ace764cfdfb653533181489926b8b69a3539f774bf1e382,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,bc1qKnx4PV2B2wHSzwYn0n94KU1uVNNKsp9fRMAw9W,127.79906799,127.7988223,0.00024569,P2WPKH,GH,False,Whitelisted_Institutional
2026-07-27 14:26:44,130.181.20.140,132.251.179.113,8333,8332,6b2d3f478927b17274591d10421f268cb68fa1415fd6a912818c2a3acd483482,3OsTVsrosV1JQFD43SHWF7690gKhwRyRiI,bc1qsbUSu9QXWASWDEIIJmZBCzCkNbo1gocd6X1teV,0.22525703,0.20143577,0.02382126,P2PKH,TR,True,Fee_Spike
2026-07-27 14:32:36,200.29.32.13,31.199.17.67,55755,18333,189d9ce8bea6f756e61db9466a2a09c4ce0f8fe6798bbc14eed8013a8d748f39,1ja36hrLmaNAXPJKlyd7AzbOyyZJ3RwOdg,3enIAzoC2lbrmuSi7JSUt767nrcnHlOvBF,0.69715785,0.69691469,0.00024316,P2PKH,BJ,False,Normal_P2P
2026-07-27 16:07:47,161.87.81.26,189.19.162.64,9150,8333,e07d5ad82ed8f9b80070e2dafa9b1bc5a7c760e0d607224b02f653bde8038eb6,bc1qYTJsBiaJyLyjctgNOpV1pkPDjapFblzYRVjRG7,bc1qxDueDFYH3bEdReGfVYF4zqG5sZC5OZYu7nfCC1|bc1qAFyTQZE1zztmAyaFHOTeDp6hZyW0VUxSzr2QTY,18.46551333,0.06645301|18.39864564,0.00041468,P2WPKH,AF,True,Peel_Chain
2026-07-27 16:15:39,195.230.173.91,206.248.159.220,443,18333,6bba29d6170590fea26582a9d3fa3318b5c89e96d252a8b3209bd8597c814806,bc1qFn8rz132jcjuBU5HY3c4EoWiG7AYUa4ZtPxU9g,1CIUs0dLG1Cj4ZgGalXevBGbTQQDGtWdkU,0.30117948,0.26312876,0.03805072,P2PKH,HU,True,Fee_Spike
