timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,is_labeled_suspicious,attack_type,chain_id,chain_hop,remaining_balance,change_address,peel_amount,peel_destination_type
2026-07-27 12:22:56,216.84.75.52,217.35.114.29,63198,18333,9d234ae5ce8a19cf72b331ab528c905c33b74421f37b94d88ad490c1741184cf,1bmZBhLr5kGKihkGU8ouAid81FbDFaF3kc|1wMaRKVmvqJnTEWi0JkfaPkDIX0ZJWZ3pW,bc1qYP5kWo0sI1DNaDHEWdxusaF9XwJ7du6flOF47b,0.72238293|1.10197276,1.82411511,0.00024058,P2WPKH,RW,False,Normal_P2P,,,,,,
2026-07-27 12:55:05,185.243.136.4,217.112.242.179,61552,18332,14e2c4987b42ea0e40985d518401256a171c9d1031b1156cd0f3289e3941691f,1eErSz9NbPSPhEyh7Djcyvo2YLHUPSzzHQ|1AzkVj8ZH1QiobRbJxoJEmsHRyU9IqBaTJ,35trg8Zx0f7yfk8KlxhP0DxcmXy0FaIjPQ,0.88947299|0.9922413,1.88156939,0.0001449,P2WPKH,GN,False,Normal_P2P,,,,,,
2026-07-27 16:07:24,45.157.131.57,46.90.7.32,54239,8333,f924a9b838be4fc0d0c78b982088c9f8b3d6f307daebec2f66a98d0500aaf098,13CfigXrZEJJNQ9RM2ujZThpTpyJ7nUbDX|bc1qf9ZLg4zeFKFULIdbmykjqsZlwqyoiRRl3gtvjd,1y1l2J4pfRyY9WAHk7ZW2nKAS66ZujJys7,0.19446368|0.63019214,0.82423942,0.0004164,P2PKH,MG,False,Normal_P2P,,,,,,
2026-07-27 17:38:27,160.4.182.250,192.157.145.5,54248,18333,a6522c598de4979bac799cdf853bd0f36cf2cc21f522e128df58d90ebf4a63c7,1YQGVgJajbTOEqbtWHBxFCYOyTCDFzAzbm,3ldIG7m2cCfXKkCdQwG5iaFMXZzlC5QFO2,1.35091002,1.35083915,7.087e-05,P2WPKH,ET,False,Normal_P2P,,,,,,
2026-07-27 17:52:31,218.37.23.54,222.232.27.6,60306,18333,07009fb65382917a59e908d879327725e76eda8a801e29a83e4e64ebd230bca2,1tGH5E9LSBCXtnvKkJpoe2VvoCKQ2eecFQ|3H6IinSQNXrWPsswPWXTsuRkNCMKpxddmJ|3oHBWPhVnLtw5NjuJgmk7ZXB1n67Cb0Lny,3jSv6nhLVWKl5GQZFS2SaoFG6vwyhffzCF,0.6410987|0.28586252|0.48830957,1.41498261,0.00028818,P2SH,LY,False,Normal_P2P,,,,,,
2026-07-27 18:53:03,187.34.50.219,162.194.172.52,64626,8332,0707185c4030da9a8dcfa558cc29d7b0efa68a77a9098f607e13fae9db908134,3Vsp6ELpjwmWebmjW9sil5t0diSgppjwii,13lNDrPsGkZSFliFrlhkJhMAdqaQVUTI4T,1.19428787,1.19419269,9.518e-05,P2WPKH,MA,False,Normal_P2P,,,,,,
2026-07-27 23:40:52,95.159.157.6,167.46.183.71,62245,18332,db4c6301f70e75772d6b8fc624f84e6da6ecbd06ae7f5c04a51269578308e656,3saQdFiNQyUeafGvpCadbajiSkyZ26cfUh,1V34TJWTgW4BGDe0gMeX69oljjgxV446Fx,0.83349341,0.83342212,7.129e-05,P2SH,TM,False,Normal_P2P,,,,,,
2026-07-28 02:40:25,221.108.180.212,122.57.188.12,9150,18333,e5c3a3eab2dfaa06909c048da252ff9c315b6946a2ab2418bd99c755caeefa94,1Dh6CpwL7SWktJ5J4x6mKZpRsQXXJcHPeO,10Yg7NZRBT7qYHDBTq0Zf2pCLxb0lnXv2R,0.47530975,0.425914,0.04939575,P2WPKH,AF,True,Fee_Spike,,,,,,
2026-07-28 02:55:44,205.151.94.180,101.82.182.142,9050,18333,e69f5501c5357d2352ed9c109733c02aeeeea9359542edea37c655abf1a43558,1NUhkysUUHxRDi1a5BQ7Qc4N7A41uqgOyV|bc1qoPVGQ9taaezGQvSpcMdK3nLh7fLxVOXlglsOeC|3VQPVpWrdy9qYle8myOgHAMgBqceTWbEOa|1PqR4JF6EB0WWHa7YDJ5wQyN7fH7eCVOkc|3OsygQE2Blcb9oyXNE7Y7bvuSznOG61HTo|1ciOD4cRikdtXCkKYgEXnXAY8Qu8JiZXVK|3dqUkwkpKiXNxj2fa5RKrQXDhiqBokQKSL|1MWvaohGfwVHnVOrmXQ8DkPcNrAuXVcT5k|1Eh3SKumPuWugT1xnDE3i5CyiSN8mhQdi0|3zVnsjX74JIozG1nDCaA2pAn5643zc9TFA|3DXYCoIaT6isOfDsR1UbCV2zWwCN1e3ucA|3RLJmQMu5F4wdxCcwORIViuHOTU2RUVt3F|3rdvEGhSQHsMX6Y6e3Ce3r7grRE2GMs8Hi|3ATblbXZGuJOWEPGICJ3tWoxr0jr7MjHlk|bc1qQPjocthqlIctvxHks5zEjCtaT8uRDr68JjJ4BQ,bc1qDcQhbMnwuLmGWVmf0P78yELFdPySAxavtBIn3T|3XrX8A3iKfmD19e7Ufz4zISUilxIcZZsIC|1XjsNNhPrl4NbVE8LwDBpQ8YxTbqKjCQwd|3A4wrG6FVlfUH2ZQsQQfJZaGxEv4gjnl3M|bc1q0SRXz4hibvQiB9G8ksUhhRQtn8AVgbEAmcOKD4|1ePUW5m3lvf066vjFToJgJanlr3H8gnFRw|bc1qlPgZ8AFzVtCGEwrSfExCTQ0oz9A13X6waPPyGP|1iyKg58e8uK9hZSrSKqWNyDLzErVgpEMig|1ZEblLusMVOGECsEFHYHbV92hB0BckOW2k|3iSEgPOQJD0FyE8Mv8tbcZvUb3vgvwvOpO|bc1qfQ1hkHcOAFAbDbtJtgEQmEYPks8mN8e0nqsJXM|1SJKqJGAveZFsPtzpFPH2MGlEOZ6qNY045|bc1qMGwjjQsAtZdmzZOpLzhlpZCIBOcjiqXOk07Eb1|1tsd73P2y00oJFhPJWGEfLVtZTXU6ngnrz|bc1qdHRhHDprWiDwtO4cTXd4PpxNR3QHoBa754s6Us|bc1qqeATHuRVNlBNamsJgpSVOiKz6B2ikKurfwyxZJ,0.53381012|0.54596774|0.54044414|0.52278199|0.50453404|0.54532962|0.54321053|0.54895812|0.52595731|0.52310894|0.54409085|0.53802575|0.54583514|0.54306566|0.54326948,0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.5|0.54651559,0.00187384,P2WPKH,SM,True,CoinJoin_Mixer,,,,,,
2026-07-28 03:48:17,204.41.165.8,160.178.81.39,57037,8332,65a8aea51a00e1691035cc99777cc947172cb5facc66f4da8b4e4e873d76a797,bc1qYW1n9UHVe3bytHQmwBUnPDocOasWtOr37ldU91,bc1qt7xzEXPd3JaMRSL5NXY0Z3yACKxfcSvTkDye8T,1.67753725,1.67745094,8.631e-05,P2WPKH,MR,False,Normal_P2P,,,,,,
